id,country,description,designation,points,price,province,region_1,region_2,variety,winery
87524,Italy,"Here's a light, bright and tonic Cannubi-based Barolo that delivers aromas of wild blueberry, white almond, spice, violets, licorice and cherry cola. There's a touch of red apple in there as well and the wine washes clean over the palate, imparting structure and freshness along the way. Drink after 2015.",Cannubi,91,100.0,Piedmont,Barolo,,Nebbiolo,Michele Chiarlo
87525,US,"Named for the Sentinel Gap, a nearby landmark, this is the top wine from Milbrandt. Supple and complex, it shows a sensuous mix of fruits, ranging from mixed berries into black cherries, plums and cassis. The barrel notes of coffee and toast are carefully worked, and the tannins polished and sleek. A wine that may be savored immediately, or cellared for up to 10 years.",Northridge Sentinel Red,91,55.0,Washington,Wahluke Slope,Columbia Valley,Red Blend,Milbrandt
87526,Austria,"Planted with cuttings from many Austrian wine regions, the Aussere Bergen vineyard produces a ripe, full wine, packed with yellow fruits, spice and a feeling of opulence, while always balanced.",Aussere Bergen,91,24.0,Niederösterreich,,,Grüner Veltliner,Zull
87527,US,"Made with no oak, this pretty wine stars fresh fruit and clean acidity. With orange, honeysuckle, melon, mineral and vanilla flavors, it has a mouthfeel midway between a crisp Sauvignon Blanc and a creamy Chardonnay. Production was low, only 559 cases, but worth a search.",Paragon Vineyard,91,17.0,California,Edna Valley,Central Coast,Grenache Blanc,Tangent
87528,Italy,"This beautiful Riserva della Famiglia offers immense sophistication and density with loads of spice, dark fruit and oak-related aromas. It is unlike any other Barbera you will taste thanks to the depth of its complexity and its overall intensity.",Riserva della Famiglia,90,163.0,Piedmont,Barbera d'Asti Superiore Nizza,,Barbera,Coppo
87529,Italy,"Winemakers for many long generations, the Lodali family (now with Walter Lodali at the helm) is slowly penetrating the international wine consciousness. The 2007 Lorens Barbaresco offers pronounced aromas of smoke, tobacco, tar and licorice embellished by red rose and violet. The wine is smooth, silky with polished tannins and an elegant finish.",Lorens,90,75.0,Piedmont,Barbaresco,,Nebbiolo,Eredi Lodali
87530,Chile,"Dark, sultry and hard at first, but with airing comes a wave of cola, vanilla and black fruit notes that settle in the right way. The palate is healthy and balanced, and the flavors of cherry, currant, plum and tobacco are enticing and long. Herbal in some ways, but not too much. Shows quality and some short-term aging ability; drink now through 2012.",Single Vineyard,90,21.0,Aconcagua Valley,,,Cabernet Sauvignon,Errazuriz
87531,US,"Frog's Leap strove for elegance above power in this modulated wine. It's delicate in the mouth, with complex notes of herbs, cherry tart, cherry Lifesaver candy and cedar wood. Turns a bit sharp in the finish, with a cut of acidity that should help the wine age for 6–8 years.",,90,75.0,California,Rutherford,Napa,Cabernet Sauvignon,Frog's Leap
87532,Italy,"Barolo Arborina is slightly raw and sharp at first but the quality of the fruit is evident and, in general, this wine needs more time to evolve in the bottle. At this young stage, you'll taste white cherry, Spanish cedar, graphite tones, tobacco and light shadings of smoke. It's a fine, elegant wine with a long tannic fade.",Arborina,90,,Piedmont,Barolo,,Nebbiolo,Gianfranco Bovio
87533,US,"This single-vineyard blend is drinking very well. There is an unusual minty spice underlying the cassis and cherry fruit, and it provides a nice line for the flavors as they weave across the palate. This wine is among the best balanced of the 2007 reds from Fidélitas, and shows some well-managed herbs and baking spice flavors along with soft, light tannins.",Red Mountain Vineyard Red Wine,90,50.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Fidelitas
87534,Austria,"From young vines, this is a big, berried wine, dense and concentrated. Sweet cherries, juicy texture and light tannins give a tasty, ripe wine.",Heideboden,90,28.0,Burgenland,,,Austrian Red Blend,Judith Beck
87535,Italy,"There's a firmly elegant and traditional aspect to this ruby-hued Barolo that suggests a pairing with something like bacon-wrapped scallops: in other words, a dish that is textured, delicate and aromatically intense at the same time. The bouquet here is redolent of violets, white cherry, spice and powdered licorice.",Cannubbio,90,,Piedmont,Barolo,,Nebbiolo,Francesco Rinaldi
87536,Italy,"Fragrant and delicate, with aromas of blue flower, scented candle, forest berry, earth and perfume, this Barbaresco shows the ethereal nature of Nebbiolo. It performs beautifully in the mouth thanks to the smooth, silky tannins.",I Patriarchi,90,,Piedmont,Barbaresco,,Nebbiolo,Francone
87537,US,"A deeply colored, rich, vibrant Syrah, ready to drink now. It's gritty in tannins and bone dry, but offers a wealth of ripe, jammy blackberries, cherries, bacon, peppery spices and smoky sandalwood.",Estate,90,45.0,California,Sonoma County,Sonoma,Syrah,Bugay
87538,Italy,"The steep Ovello vineyard overlooks the hilltop hamlet of Barbaresco and beautifully trellised countryside. This cru expression shows aromas of spice, mesquite, cedar, clove and black fruit. In addition, there are distinguishable aromas of blue flower and green olive, backed by silky tannins and a smooth but drying finish.",Ovello,90,45.0,Piedmont,Barbaresco,,Nebbiolo,Cascina Morassino
87539,US,"A beautiful Syrah, richly textured and delicious. Held back for three years, it's perfect now for the soft texture, and the raspberry, cherry and orange zest flavors have a spicy edge. Complexity is enhanced with additions of Petite Sirah, Sangiovese, Barbera, Grenache and Viognier.",,90,18.0,California,Sonoma Valley,Sonoma,Syrah,Kunde
87540,Italy,"Easy, tonic and fresh, this playful Prosecco delivers everything you look for in an informal, Italian sparkling wine. The delivery is clean and crisp and the wine imparts aromas of stone fruit and white mineral.",,85,18.0,Veneto,Prosecco del Veneto,,Prosecco,Casalnova
87541,US,"Doesn't have quite the concentration of many more expensive Merlots, but fills a nice niche in an affordable red wine that's full-bodied, dry and elegant. Offers pleasant flavors of cherries, red currants, cola and oak.",,85,10.0,California,California,California Other,Merlot,Cycles Gladiator
87542,US,"A very rich wine, courtesy of some Viognier and Pinot Gris, not to mention new oak. Offers flattering flavors of pineapples, golden mangoes, vanilla cream, buttered toast and honeysuckle flowers.",,85,10.0,California,Central Coast,Central Coast,Chardonnay,Cycles Gladiator
87543,France,"Hard and unyielding for Viognier, with lemon and mineral elements that seem a bit out of character for the variety. Nevertheless, it's a crisp refreshing white for the summer.",Le Viognier,85,30.0,France Other,Vin de Pays des Portes de Méditerranée,,Viognier,Domaine Juliette Avril
87544,US,"This is Erath's big production white wine. It's well-balanced, with moderately ripe apple and pear flavors, some noticeable tannins, and firm acids. A solid, middle-of-the-road effort.",,85,15.0,Oregon,Oregon,Oregon Other,Pinot Gris,Erath
87545,US,"Light pear and apple flavors, with a dash of melon, comprise this simple, pleasantly acidic white wine. Though it does not have the density of many other Oregon Pinot Gris bottlings, it is reliable and fresh, with a screwcap for good measure.",,85,12.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Duck Pond
87546,US,"From estate fruit, this Chardonnay falls a bit flat in the mouth. The fruit is light and simple, and there is a hint of bitterness that leave a chemical aftertaste.",,85,25.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Methven Family Vineyards
87547,Italy,"Here's a pretty Pinot Grigio with broad aromas of peach, melon, cut grass and Golden Delicious apple. The wine boasts a luminous, light color and offers drying chalky tones and bright acidity in the mouth.",,85,16.0,Veneto,Piave,,Pinot Grigio,Moletto
87548,US,"A solid, everyday Merlot that provides lots of bang for the buck. It's dry and full-bodied and tannic, with flavors of cherries, currants, cola and tobacco.",,85,14.0,California,Monterey,Central Coast,Merlot,Hahn Estates
87549,US,"Soft and somewhat simple in structure. Shows modest cherry, cola and spice flavors, enhanced with smoky sandalwood. Ready to drink now.",,85,45.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Kings Mountain
87550,US,"A little sweaty in the nose, this moves ahead with pineapple and grapefruit flavors, finishing with slightly bitter citrus rind flavors. It's more of a food wine than a sipping wine.",,85,12.0,Oregon,Oregon,Oregon Other,Pinot Gris,Kings Ridge
87551,US,"A bit quick on the finish, but otherwise a nice everyday Chardonnay. Shows a soft, buttercream texture, with dry, subtle flavors of pineapples, pears and buttered toast.",,85,13.0,California,Alexander Valley,Sonoma,Chardonnay,Geyser Peak
87552,Portugal,"The Estremadura region, north of Lisbon, is at the western extremity of mainland Europe. It produces a good line in this style of fresh, crisp wines, light and bright. There is just a hint of sweetness, with currant flavors and a final softness.",Point West,85,9.0,Estremadura,,,Portuguese White,DFJ Vinhos
87553,US,"A bit too soft and sweet, with candied flavors of black cherries, chocolate and anise biscotti. Certainly offers lots of richness, but could use greater structure.",,85,30.0,California,Dry Creek Valley,Sonoma,Syrah,Dogwood
87554,France,"Restrained in style, with modest pear and honey notes tinged with a toasty, mealy edge. Shows some nice creaminess to the midpalate, then fades gradually on the finish. Drink now.",Les Cèdres,85,52.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Paul Jaboulet Aîné
87555,Portugal,"A lively, fresh, lightly sweet wine, with raspberry and caramel flavors. It is crisp, but soft with an easy balancing acidity.",Espirito Rosé,85,10.0,Tejo,,,Portuguese Red,Quinta da Lagoalva de Cima
87556,US,"There are some fine flavors of cassis and cedar in this dry Merlot-based Bordeaux blend, but it has textural challenges in the tough tannins and cutting acidity that seems to come from green fruit or stems. Drink now.",Eros Estate,85,56.0,California,Santa Ynez Valley,Central Coast,Bordeaux-style Red Blend,Sunstone
87557,US,"A good everyday Zinfandel whose full-bodied, spicy fruitiness will satisfy with barbecue. It's a rugged, somewhat rustic wine with briary flavors of wild blackberries, leather, cola and pepper. Drink now.",Conte Vineyard,85,18.0,California,Russian River Valley,Sonoma,Zinfandel,Wine Guerrilla
87558,France,"Enjoyably full bodied and creamy textured, this slightly chewy Châteauneuf would rate higher if not for its slightly pruny, raisiny fruit.",La Tiare du Pape,85,35.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Maison Bouachon
87559,Greece,"This subtle, elegant sip starts with aromas of spicebox, tobacco and rich dark fruit, followed by flavors of cherry, cedar and cinnamon spice. A softer style, integrated red that will pair well with duck, steak.",Réserve,85,45.0,Nemea,,,Agiorgitiko,Nemeion Estate
87560,US,"Here's a big, gutsy Syrah that's ripe in blackberries, but also a little ungainly. There are some raisiny flavors as well as minty ones, giving it the taste of a Chinese sweet and sour cherry sauce.",Christensen Family Vineyard,85,27.0,California,Russian River Valley,Sonoma,Syrah,Novy
87561,Portugal,"Young citrus aromas, followed by a palate of creamy apple sauce and pears, light in flavor, but certainly fresh and fruity.",Coroa D'Ouro,85,12.0,Douro,,,Portuguese White,Poças
87562,Israel,"With 80% Petite Sirah and 20% Zinfandel, this is a juicy, lush red with a solid structure, moderate gripping tannins and a long finish. Red plum, cherry and milk chocolate fill the bouquet while sweet spice and vibrant red fruit dominate the palate. Drink now.",Reserve Kosher Petite Sirah-Zinfandel,85,25.0,Galilee,,,Red Blend,Recanati
87563,Israel,"Straightforward and very drinkable with notes of blackberry and plum with cassis and soft spice accents. Hints of green pepper appear on the palate, along with flavors of black cherry skins. Lightweight with gentle tannins and a short, clean finish.",Kosher,85,15.0,Galilee,,,Cabernet Sauvignon,Recanati
87564,US,"There's a lot of sweaty leather in this wine's aromas and tastes, which may put some people off, and it doesn't blow away. Under that are rich cherry, cedar and violet flavors. The funkiness lowers the point score considerably.",Reserve,85,29.0,California,Napa Valley,Napa,Merlot,Bourassa Vineyards
87565,France,"Tight and tannic, this is a wine with as much structure as fruit. It has a dusty, austere quality, the fruit a light layer underneath. The high proportion of Petit Verdot in the blend gives color as well as those tannins.",,85,32.0,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château la Bessane
87566,France,Although this wine's nose is still going strong--filled with hints of honey and tangerine--the fruit on the palate is fading rapidly. Drink up.,,85,39.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Domaine Font de Michelle
87567,France,"The branded wine from Domaines Lapalu (owner of Château Patache d'Aux) is a soft, clean, black currant-flavored Cabernet. The tannins show a mineral, tight edge, but the wine is on the light side.",La Patache,85,12.0,Bordeaux,Médoc,,Cabernet Sauvignon,Domaines Lapalu
87568,US,"With alcohol reaching 14.6%, this reserve bottling is quite ripe—some might say too ripe—with fruit tasting of raisins and prunes. There's plenty of oak, a hint of smoke, and heat in the finish.",Reserve,85,30.0,Oregon,Rogue Valley,Southern Oregon,Merlot,David Hill
87569,Italy,"Feudo Arancio Stemmari produces good quality at attractively low prices. This warm climate expression of Pinot Grigio offers aromas of peach, citrus and almond paste. Try it with fried fish or grilled tuna.",Stemmari,85,9.0,Sicily & Sardinia,Sicilia,,Pinot Grigio,Feudo Arancio
87570,France,"Made from 100% Pinot Noir, this is a vividly crisp wine, tight, with strawberry flavors laced with intense acidity and a tangy, zesty edge. Lively, bright, with a fruity finish.",Parigot Rosé Brut,88,23.0,Burgundy,Crémant de Bourgogne,,Pinot Noir,Parigot & Richard
87571,France,"A soft wine, its flavors initially out of focus. It develops slowly, showing rich flavors from the wood, the structure smothered in a soft cushion. It is perhaps too ample for its own good.",Vaudésir Grand Cru,88,70.0,Burgundy,Chablis,,Chardonnay,Pascal Bouchard
87572,Italy,"Made with air dried grapes, this fruity blend of Merlot, Cabernet Sauvignon and Corvina (a native grape of Veneto, northern Italy) opens with raw notes of cherry, blackberry and exotic spice. It's smooth and rich with a powerful blast of cherry on the close.",Le Soraie,88,20.0,Veneto,Rosso del Veronese,,Red Blend,Pasqua
87573,Italy,"Here's a very rich and intense expression of Barbera d'Alba with aromas of black fruit, toasted nut, vanilla bean, espresso and cherry cola. It's a modern, smooth wine that would pair with lasagna or rolled pork with prune.",San Pancrazio,88,15.0,Piedmont,Barbera d'Alba,,Barbera,Pelassa
87574,US,"A classy Chardonnay for sipping now. Dry and zesty in acidity, it has appealing tangerine, Meyer lemon, white flower, honey and mineral flavors.",Journey,88,75.0,California,Sonoma County,Sonoma,Chardonnay,Matanzas Creek
87575,Italy,"Although it is not labeled “Ripasso,” Campofiorin is indeed among the very first commercial wines made in the Ripasso style (with partially air-dried grapes). The beautiful results show intensity, elegance and although the mid palate is compact and short, the wine does offer a full array of spicy and dark fruit aromas.",Campofiorin,88,19.0,Veneto,Rosso del Veronese,,"Corvina, Rondinella, Molinara",Masi
87576,US,"Good blackberry, black cherry, cola and spice flavors in this Merlot. It's marked by the jagged, sandpapery tannins that often accompany Dry Creek red wines. You can call it rustic, but it's rustic-chic, an interesting wine with some real complexity.",,88,33.0,California,Dry Creek Valley,Sonoma,Merlot,Martorana
87577,US,"This pretty, polished young Chardonnay comes from the sprawling Santa Maria Valley of Santa Barbara County. It's a good, dry wine, rich in acidity, with mineral-infused apple, pineapple and pear flavors, lavished with sweet, smoky oak. Drink now.",Dierberg Vineyard,88,45.0,California,Santa Maria Valley,Central Coast,Chardonnay,Migration
87578,Spain,"Sweet, ripe, rich and a little baked on the bold bouquet, with a good mouthfeel, layered blackberry and plum fruit, and then a long, robust and clean finish. As value-priced Garnacha from Spain goes, this is on the dot.",Menguante,88,12.0,Northern Spain,Cariñena,,Garnacha,Viñedos y Bodegas Pablo
87579,Spain,"More traditional and Old World in style, with some light oak supporting aromas of rubber, smoked meats, leather and berry fruit. There's good life to the bouncy palate along with flavors of zesty plum and cherry. Snappy and crisp on the finish.",Old Vine,87,18.0,Northern Spain,Cariñena,,Garnacha,Castillo de Monséran
87580,France,"Dark chocolate and rich plum sauce add complexity to this black fruit-driven Merlot. Blackberry preserves and soft plum guts fill the mouth, with a touch of green pepper appearing on the finish. Medium weight with a creamy texture and a medium-length finish. Drink now.",Reserve,87,13.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Merlot,Domaines Astruc
87581,France,"There's a strong herbal component to this wine, with assertive bay leaf and rosemary aromas among the standard dark fruit character. Medium weight in the mouth with structured tannins and a coffee-infused finish. Drink now.",,87,13.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Cabernet Sauvignon,Domaines Paul Mas
87582,Australia,"The Hermit Crab is a plump, medium-bodied blend of Viognier (72%) and Marsanne (28%). Although it retains some Viognier-like elements of melon fruit and fullness of texture, some of the variety's distinctiveness appears to have been blended away by the Marsanne, leaving a less expressive but still nicely balanced and more versatile white wine.",The Hermit Crab,87,16.0,South Australia,McLaren Vale,,Viognier-Marsanne,D'Arenberg
87583,France,"Here's a fruit forward and very drinkable red blend of 60% Syrah, 35% Mourvèdre and 5% Grenache. Jammy red berry preserves, boysenberry and blueberry all present themselves in the fleshy mouth, with a fruitcake spice lingering through the close.",,87,21.0,Languedoc-Roussillon,Coteaux du Languedoc,,Rhône-style Red Blend,Domaine de Nizas
87584,France,"Here's a mineral-driven red with strong notes of black cherry and plum throughout the nose and mouth and a touch of dark chocolate on the close. Medium weight with firm tannins and medium acidity; 50% Cabernet Sauvignon, 40% Syrah and 10% Petit Verdot.",Le Mas,87,13.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Red Blend,Domaine de Nizas
87585,France,"Jessiaume is based in Santenay and the wine shows the attraction of this village at the southern end of the Côte de Beaune. It reveals soft fruit, warmed by a jammy layer of red berries and ripe acidity.",,87,28.0,Burgundy,Santenay,,Pinot Noir,Domaine Jessiaume
87586,US,"It's unheard of for a winery to hold back a Sangiovese for more than four years before releasing it, but DeLorimier did. It's done the wine well, allowing it to soften and mellow. It's still quite acidic, and a little rustic as California Sangiovese tends to be, but there's a lot of deliciousness. Try as an interesting alternative to Pinot Noir.",,87,29.0,California,Alexander Valley,Sonoma,Sangiovese,DeLorimier
87587,US,"Quite firm and focused, with a dominating scent of cut tobacco. The black cherry fruit is set against juicy acids, and rolls into a finish with streaks of licorice and more of that cut tobacco flavor.",H3,87,15.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Columbia Crest
87588,Italy,"From the Greeks words Theo for “Godly” and Broma for “beverage” comes this hearty blend of Cabernet Sauvignon and traditional grapes from the Verona area. The wine is high in alcohol and you feel it: Leather, spice and tobacco are followed by cherry liqueur.",Theo Broma,87,,Veneto,Veronese,,Red Blend,Antolini
87589,Italy,"Thanks to long oak aging, this hearty blend is packed tight with aromas of chocolate, ripe cherry, leather and tobacco. It's rich and thick in the mouth with a touch of bitter fruit on the bright close.",Croder Rosso,87,20.0,Veneto,Colli di Conegliano,,Red Blend,Astoria
87590,Spain,"Smells waxy, as if it has slipped past its prime. The palate still sports a beam of bright acidity but there isn't much body or lees to accompany the richness, so the volume is low as a whole. Tastes good, but mostly like citrus and fresh fruit juice.",,87,19.0,Galicia,Rías Baixas,,Albariño,Fillaboa
87591,US,"This is an appealing Chardonnay. It's a little sweet in apricot jam, peach, green apple, honey and buttered toast flavors, but the sweetness is balanced with crisp, citrusy acidity and a nice cut of minerality.",Dijon Clone Block,87,22.0,California,Sonoma Valley,Sonoma,Chardonnay,Grove Street
87592,US,"A pretty, polished Sauvignon Blanc for drinking as a cocktail sipper with all kinds of zesty appetizers. It's dryish and crisp in acidity, with rich flavors of pineapples, lemons, kiwi fruit, limes and vanilla.",Y3,87,17.0,California,Napa Valley,Napa,Sauvignon Blanc,Jax
87593,Italy,"Bollini's bright, cool-climate Merlot opens with a rich, ruby color and fragrant aromas of cherry, blueberry and wild strawberry. The wine sees six months of light oak aging, adding moderate spice and tobacco. The price is right and the mouthfeel is tonic and tight.",,87,12.0,Northeastern Italy,Trentino,,Merlot,Bollini
87594,Italy,"Corvino (a 100% expression of the native Corvina grape from the Verona area) shows light touches of spice and raw berry fruit that form an informal but inviting whole. The wine is compact, clean and fresh on the finish.",Corvino Vignenuove,87,20.0,Veneto,Veneto,,Corvina,Luciana Cordioli
87595,France,"A ripe wine, showing good concentration from old vines. Flavors are of black currant, red apples and tangy mandarin, the acidity intense and bright.",Vieilles Vignes,87,15.0,Burgundy,Bourgogne Aligoté,,Aligoté,Manuel Olivier
87596,France,"Rounded and attractively soft, the wine has mouthwatering raspberry and almond flavors. It feels warm, even rich, with its layers of acidity enveloped by ripe fruits. A sparkling wine for food.",Rosé Brut,87,17.0,Burgundy,Crémant de Bourgogne,,Pinot Noir,Manuel Olivier
87597,Argentina,"Light, clean aromas of melon and vanilla are pleasant and don't overpower. The palate is lucid and medium in weight, with green melon and ripe apple flavors. Lime and green apple carry the finish. Works well; drink immediately.",Reserva,87,15.0,Other,La Rioja,,Torrontés,Tamarí
